mot,occurrences,longueur,type,cote
présence,41,8,NOM,2
présentateur,3,12,NOM,1
presentation,2,12,NOM,2
présentation,41,12,NOM,2
presentee,4,9,ADJ,2
présenter,154,9,VER:pres,3
préservation,1,12,NOM,1
préserver,11,9,VER:infi,2
presses,9,7,VER:pres,2
prestation,2,10,NOM,2
prestige,4,8,NOM,1
prestigieux,7,11,ADJ,1
prétexte,1,8,ADJ,1
prévisible,7,10,ADJ,1
primer,8,6,VER:pper,2
primeur,6,7,NOM,2
primitif,9,8,ADJ,1
primordial,3,10,ADJ,1
prise,4,5,NOM,2
priser,5,6,VER:infi,3
privilégier,8,11,VER:pper,1
prix,190,4,NOM,1
processus,8,9,NOM,1
prochain,57,8,ADJ,1
prochainement,3,13,ADV,2
production,96,10,NOM,2
produire,71,8,VER:pres,2
profondeur,11,10,NOM,1
programmation,9,13,NOM,2
programmer,2,10,VER:pper,3
progression,6,11,NOM,1
projet,106,6,NOM,1
projeter,6,8,VER:pper,3
prolonger,7,9,VER:pper,3
prometteur,4,10,ADJ,1
promotion,5,9,NOM,1
promotionnel,2,12,ADJ,1
promouvoir,3,10,VER:pper,3
prononcer,10,9,VER:pper,1
propos,34,6,NOM,1
proposer,54,8,VER:impf,3
psychédélisme,1,13,NOM,1
psychologie,10,11,NOM,1
public,114,6,ADJ,1
puiser,10,6,VER:pper,3
qualité,64,7,NOM,1
québécisme,3,10,NOM,1
quête,14,5,NOM,1
quinzaine,8,9,NOM,1
racoleur,3,8,ADJ,1
raconter,64,8,VER:impf,3
raffiner,2,8,VER:pper,3
rafraîchir,5,10,VER:infi,2
raison,49,6,NOM,1
rapailler,2,9,VER:infi,2
rappeler,48,8,VER:infi,3
ravissant,3,9,ADJ,1
ravissement,2,11,NOM,1
réagir,7,6,VER:subp,1
réal,65,4,ADJ,2
réalisation,23,11,NOM,3
réaliser,70,8,VER:pres,3
réaliste,6,8,ADJ,1
réalité,53,7,NOM,1
rebelle,7,7,NOM,1
rebondissement,1,14,NOM,2
récemment,18,9,ADV,1
récent,66,6,ADJ,1
reception,2,9,NOM,1
réception,7,9,NOM,1
recette,13,7,NOM,2
recherche,31,9,NOM,1
récipiendaire,2,13,NOM,2
récit,64,5,NOM,3
recommandation,4,14,NOM,1
recommander,5,11,VER:cond,2
récompenser,4,11,VER:infi,2
reconnaissance,3,14,NOM,1
reconnaissant,2,13,ADJ,1
reconnaître,42,11,VER:pres,2
reconstituer,4,12,VER:ppre,2
reconstitution,4,14,NOM,1
recourir,6,8,VER:pres,1
recueil,28,7,NOM,2
rédacteur,9,9,NOM,2
rédaction,8,9,NOM,2
redevance,10,9,NOM,2
rédiger,6,7,VER:pper,3
redoutable,5,10,ADJ,1
réécrire,2,8,VER:infi,2
rééditer,5,8,VER:infi,3
réel,36,4,ADJ,1
référence,4,9,NOM,1
reflet,8,6,NOM,1
refonte,6,7,NOM,1
regard,48,6,NOM,1
regarder,36,8,VER:pres,1
registre,5,8,NOM,1
registrer,6,9,VER:pper,2
règle|règles,11,12,NOM,1
regrouper,12,9,VER:infi,2
réinventer,6,10,VER:pper,3
relater,15,7,VER:impf,3
relecture,4,9,NOM,2
relief,4,6,NOM,1
relire,9,6,VER:futu,3
reliure,6,7,NOM,3
remanier,5,8,VER:pper,1
remarquable,7,11,ADJ,2
remporter,10,9,VER:simp,2
renaissance,11,11,NOM,1
renaître,67,8,VER:pper,2
rencontre,61,9,NOM,1
rencontres,3,10,VER:pres,1
renom,4,5,NOM,1
renommer,5,8,VER:pper,2
renoncer,5,8,VER:infi,1
renouveler,7,10,VER:pres,1
répéter,12,7,VER:ppre,3
réplique,4,8,NOM,1
reprendre,42,9,VER:pper,3
représentatif,2,13,ADJ,1
representation,3,14,NOM,3
reprocher,11,9,VER:pres,1
reproduction,9,12,NOM,1
reproduire,15,10,VER:infi,2
réputer,6,7,VER:pper,3
réseau,19,6,NOM,2
résider,11,7,VER:pres,1
résonance,2,9,NOM,1
respecter,7,9,VER:infi,2
respirer,5,8,VER:infi,1
ressentir,9,9,VER:pres,2
ressortir,6,9,VER:pres,1
restaurer,14,9,VER:ppre,2
résultat,26,8,NOM,1
résulter,5,8,VER:pres,2
retirer,6,7,VER:infi,3
retracer,6,8,VER:pres,1
rétrospectif,11,12,ADJ,1
réussir,42,7,VER:impf,3
réussite,15,8,NOM,1
rêve,30,4,NOM,1
révélateur,6,10,ADJ,1
révéler,31,7,VER:pres,2
rêver,44,5,VER:pres,3
rêverie,4,7,NOM,1
revisiter,2,9,VER:infi,2
revoir,48,6,VER:pper,3
révolter,17,8,VER:pper,1
révolution,15,10,NOM,1
revue,7,5,NOM,3
ridicule,6,8,ADJ,1
rigolo,4,6,ADJ,1
rire,171,4,VER:pper,3
risque,7,6,NOM,1
risquer,39,7,VER:pres,2
rituel,5,6,ADJ,1
rôle,84,4,NOM,3
romance,7,7,ADJ,1
romantique,10,10,ADJ,2
romantisme,2,10,NOM,1
rompre,10,6,VER:infi,1
rouge,,,ADJ,1
rubriquer,3,9,VER:pres,1
rythme,8,6,NOM,2
saga,2,4,NOM,2
sagesse,3,7,NOM,1
saisissant,7,10,ADJ,1
saison,61,6,NOM,2
salle,149,5,NOM,2
satisfaire,11,10,VER:pper,2
scandale,4,8,NOM,1
sceptique,3,9,ADJ,1
séance,9,6,NOM,2
secondaire,10,10,ADJ,1
secret,31,6,NOM,1
séduction,5,9,NOM,1
séduire,19,7,VER:infi,3
selection,2,9,NOM,1
sélection,10,9,NOM,1
sélectionner,6,12,VER:ppre,2
semaine,84,7,NOM,1
sensation,6,9,NOM,1
sensationnel,3,12,ADJ,1
sensibilité,10,11,NOM,1
sensible,16,8,ADJ,1
sensualité,3,10,NOM,1
sentiment,24,9,NOM,1
sentimental,3,11,ADJ,1
sentir,68,6,VER:ppre,3
séquencer,3,9,VER:pres,1
sérénade,9,8,NOM,2
série,37,5,NOM,2
service,61,7,NOM,1
servir,56,6,VER:infi,3
siege,5,5,NOM,2
siège,6,5,NOM,1
signature,11,9,NOM,2
signé,1,5,ADJ,2
signer,27,6,VER:pper,3
significatif,2,12,ADJ,1
silence,17,7,NOM,1
silencer,10,8,VER:pres,3
silencieux,7,10,ADJ,1
silhouetter,3,11,VER:pres,1
simultanément,4,13,ADV,1
sincère,6,7,ADJ,1
sincérité,6,9,NOM,1
singulier,12,9,ADJ,1
situer,32,6,VER:pper,1
sobriété,7,8,NOM,1
soiree,2,6,NOM,2
soirée,31,6,NOM,2
soliloquer,3,10,VER:pres,2
soliste,35,7,NOM,3
solitaire,9,9,ADJ,1
solitude,15,8,NOM,1
sommaire,8,8,NOM,1
sommet,9,6,NOM,1
son,34,3,NOM,2
songe,6,5,NOM,1
sonner,16,6,VER:pres,1
sonore,20,6,ADJ,1
sonorité,3,8,NOM,3
sophistiquer,2,12,VER:infi,3
sorte,76,5,NOM,1
sortir,84,6,VER:subp,2
souci,9,5,NOM,1
souffrance,6,10,NOM,1
soutenir,19,8,VER:pres,2
souvenir,36,8,VER:pres,1
spaghetti,3,9,NOM,1
special,5,7,ADJ,1
spécial,34,7,ADJ,1
spécifique,5,10,ADJ,1
spectaculaire,9,13,ADJ,2
spectre,3,7,NOM,1
speechless,3,10,NOM,1
spirituel,11,9,ADJ,1
splendide,9,9,ADJ,1
spontané,7,8,ADJ,1
spotlight,6,9,NOM,1
stage,7,5,NOM,1
statut,19,6,NOM,1
stéréotype,2,10,ADJ,1
stimuler,3,8,VER:pres,1
stock,7,5,NOM,1
structure,12,9,NOM,1
stupéfaire,1,10,VER:pper,3
stupéfiant,1,10,ADJ,1
style,22,5,NOM,2
sublime,8,7,ADJ,2
substantiel,3,11,ADJ,1
substituer,3,10,VER:cond,2
subvention,9,10,NOM,1
subventionner,3,13,VER:infi,3
succéder,8,8,VER:simp,1
succès,65,6,NOM,2
succession,3,10,NOM,1
suite,152,5,NOM,1
sujet,26,5,ADJ,1
superbe,11,7,ADJ,2
superbement,2,11,ADV,1
superficiel,3,11,ADJ,2
supplément,7,10,NOM,1
supplémentaire,3,14,ADJ,2
support,5,7,NOM,1
surface,6,7,NOM,1
surimpression,3,13,NOM,1
surnaturel,3,10,ADJ,1
surprenant,3,10,ADJ,1
surréaliste,3,11,ADJ,3
susceptible,4,11,ADJ,1
suspect,6,7,ADJ,1
suspens,3,7,ADJ,1
symbole,16,7,NOM,1
symbolique,8,10,ADJ,1
symboliser,3,10,VER:impf,3
symbolisme,1,10,NOM,3
symboliste,11,10,ADJ,3
sympathique,10,11,ADJ,1
symposium,4,9,NOM,3
synecdoque,2,10,NOM,1
synthétique,3,11,ADJ,1
tabou,3,5,ADJ,1
take,5,4,NOM,3
talent,27,6,NOM,3
talentueux,3,10,ADJ,2
tandem,5,6,NOM,1
tapisserie,3,10,NOM,1
technicien,3,10,ADJ,1
technique,43,9,ADJ,2
technologique,6,13,ADJ,1
teindre,9,7,VER:infi,2
teinter,5,7,VER:pres,3
téléjournal,11,11,ADJ,2
téléphonique,11,12,ADJ,1
témoignage,13,10,NOM,1
témoin,11,6,NOM,1
tendresse,8,9,NOM,1
tension,7,7,NOM,1
terminer,25,8,VER:ppre,2
texte,118,5,NOM,2
texturer,4,8,VER:pres,2
thématique,3,10,ADJ,1
thème,49,5,NOM,2
time,10,4,NOM,1
timidité,1,8,NOM,1
tirage,21,6,NOM,2
titre,98,5,NOM,2
ton,11,3,NOM,2
tonalité,1,8,NOM,2
tonnerre,5,8,NOM,1
touchant,4,8,ADJ,2
tour,82,4,NOM,1
tourmenter,5,10,VER:pres,2
tourné,5,6,ADJ,1
trad,1,4,NOM,3
tradition,35,9,NOM,1
traduire,20,8,VER:pres,3
tragique,15,8,ADJ,2
trahison,9,8,NOM,1
traitement,8,10,NOM,2
traiter,35,7,VER:pper,1
tramer,5,6,VER:pres,1
tranquille,10,10,ADJ,1
transcription,8,13,NOM,2
transformer,19,11,VER:infi,2
transgresser,2,12,VER:infi,3
transmettre,7,11,VER:infi,3
transmission,3,12,NOM,3
transparence,3,12,NOM,1
transparent,4,11,ADJ,1
transporter,7,11,VER:pper,2
transposer,8,10,VER:pres,2
travail,127,7,NOM,1
travailler,84,10,VER:pres,2
trio,48,4,NOM,1
triomphal,4,9,ADJ,3
triomphe,1,8,NOM,1
triompher,10,9,VER:infi,3
triste,12,6,ADJ,1
tristesse,10,9,NOM,1
tromper,9,7,VER:pres,1
trompeter,7,9,VER:pres,3
truchement,4,10,NOM,2
truculent,2,9,ADJ,1
univers,41,7,NOM,1
universel,15,9,ADJ,1
utopie,11,6,NOM,1
vaillant,6,8,ADJ,1
valeur,18,6,NOM,1
variation,13,9,NOM,1
varier,12,6,VER:pper,1
variété,23,7,NOM,2
vécu,2,4,NOM,1
véhiculer,7,9,VER:pres,1
venger,3,6,VER:impf,2
vérifier,6,8,VER:infi,1
version,57,7,NOM,2
vert,38,4,ADJ,2
vertige,3,7,NOM,1
vertigineux,3,11,ADJ,2
vertu,8,5,NOM,1
vestige,5,7,NOM,1
vibrer,6,6,VER:infi,2
vieillir,6,8,VER:pper,3
vigueur,9,7,NOM,1
vintage,1,7,NOM,3
virtuosity,6,10,NOM,2
visible,3,7,ADJ,1
vision,35,6,NOM,1
visionnaire,2,11,ADJ,1
visionnement,1,12,NOM,3
visuel,29,6,ADJ,3
vocable,3,7,NOM,1
vocabulaire,4,11,NOM,1
voir,351,4,VER:pper,3
voix,93,4,NOM,2
volontiers,8,10,ADV,1
volume,59,6,NOM,1
voyage,45,6,NOM,1
voyeur,6,6,NOM,1
vraisemblable,1,13,ADJ,1
vue,22,3,NOM,2
west,4,4,NOM,1
wild,4,4,NOM,1
workshop,2,8,NOM,2
wrote,4,5,ADJ,3
zine,1,4,NOM,3
